dataset,image,question_index,question_type,question_text,correct_answer,model_answer,is_correct,raw_output
MVTec-AD,MVTec-AD/cable/test/good/054.png,3,Object Structure,How many different colored insulations are visible in the cable?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/good/054.png,4,Object Details,What is the color of the outer insulation layer of the cable?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/good/054.png,5,Object Analysis,Which color often represents the earth wire in certain regions?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/good/055.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/good/055.png,2,Object Classification,What kind of product is in the image?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/good/055.png,3,Object Structure,Where is the object located?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/good/055.png,4,Object Details,What is the appearance of the cable?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/good/055.png,5,Object Analysis,How does the condition of the cable appear?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/good/056.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/good/056.png,2,Object Classification,What kind of product is in the image?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/good/056.png,3,Object Structure,Where is the object located?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/good/056.png,4,Object Details,What is the appearance of the cable?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/good/056.png,5,Object Analysis,How does the condition of the cable appear?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/good/057.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/good/057.png,2,Object Classification,What kind of product is in the image?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/good/057.png,3,Object Structure,What is the color of the outer insulation layer?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/good/057.png,4,Object Details,Which color is NOT one of the insulation colors for the conductors inside the cable?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/good/057.png,5,Object Analysis,What are the conducting elements made of in this cable?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_cable/000.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/000.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/000.png,3,Defect Localization,There is a defect in the object. Where is the defect?,C,A,False,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/000.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/000.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/001.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/001.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/001.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/001.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_cable/001.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_cable/002.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/002.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,B,False,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/002.png,3,Defect Localization,There is a defect in the object. Where is the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_cable/002.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,D,A,False,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/002.png,5,Defect Analysis,There is a defect in the object. What effect does the defect have on the object?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_cable/003.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/003.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,D,A,False,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/003.png,3,Defect Localization,There is a defect in the object. Where is the defect?,A,C,False,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_cable/003.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_cable/003.png,5,Defect Analysis,There is a defect in the object. What is the likely effect of the defect on the cable's functionality?,B,C,False,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_cable/004.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/004.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,C,B,False,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/004.png,3,Defect Localization,There is a defect in the object. Where is the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_cable/004.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/004.png,5,Defect Analysis,There is a defect in the object. What effect does the defect have on the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/005.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/005.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/005.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/005.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/005.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_cable/006.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/006.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/006.png,3,Defect Localization,There is a defect in the object. Where is the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_cable/006.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_cable/006.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/007.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/007.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/007.png,3,Defect Localization,There is a defect in the object. Where is the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/007.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/007.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_cable/008.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/008.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/008.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/008.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,A,False,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/008.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_cable/009.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/009.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/009.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/009.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,C,False,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_cable/009.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_cable/010.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/010.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/010.png,3,Defect Localization,There is a defect in the object. Where is the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_cable/010.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_cable/010.png,5,Defect Analysis,There is a defect in the object. What effect does the defect have on the cable?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_cable/011.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/011.png,2,Defect Classification,There is a defect in the object. What are the types of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_cable/011.png,3,Defect Localization,There are some defects in the object. Where are the defects?,D,A,False,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_cable/011.png,4,Defect Description,There are some defects in the object. What is the appearance of the defects?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_cable/011.png,5,Defect Analysis,There are some defects in the object. What could be the effect of these defects?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_wire/000.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/000.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_wire/000.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_wire/000.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_wire/000.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/001.png,1,Anomaly Detection,Is there any defect in the object?,B,A,False,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/001.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_wire/001.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_wire/001.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_wire/001.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect?,D,C,False,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_wire/002.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_wire/002.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_wire/002.png,3,Defect Localization,There is a defect in the object. Where is the defect?,D,B,False,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_wire/002.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,B,False,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_wire/002.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect on the cable?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_wire/003.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/003.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_wire/003.png,3,Defect Localization,There is a defect in the object. Where is the defect?,D,B,False,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_wire/003.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_wire/003.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_wire/004.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_wire/004.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_wire/004.png,3,Defect Localization,There is a defect in the object. Where is the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/004.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_wire/004.png,5,Defect Analysis,There is a defect in the object. What might be the effect of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_wire/005.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/005.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/005.png,3,Defect Localization,There is a defect in the object. Where is the defect?,A,C,False,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_wire/005.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_wire/005.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect on the cable?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_wire/006.png,1,Anomaly Detection,Is there any defect in the object?,B,A,False,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/006.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_wire/006.png,3,Defect Localization,There is a defect in the object. Where is the defect?,C,A,False,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/006.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_wire/006.png,5,Defect Analysis,There is a defect in the object. How does the defect affect the wire?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/007.png,1,Anomaly Detection,Is there any defect in the object?,B,A,False,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/007.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_wire/007.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,D,False,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_wire/007.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/007.png,5,Defect Analysis,There is a defect in the object. What could be the effect of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/008.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/008.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_wire/008.png,3,Defect Localization,There is a defect in the object. Where is the defect?,D,A,False,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/008.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,D,False,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_wire/008.png,5,Defect Analysis,There is a defect in the object. How might the defect affect the cable?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/missing_wire/009.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/009.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/missing_wire/009.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,A,False,Answer: A.
MVTec-AD,MVTec-AD/cable/test/missing_wire/009.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/missing_wire/009.png,5,Defect Analysis,There is a defect in the object. What could the effect of the defect be?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/000.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/000.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/000.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/000.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/000.png,5,Defect Analysis,There is a defect in the object. What is the potential effect of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/001.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/001.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/001.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/001.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/001.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/002.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/002.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/002.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,C,False,Answer: C.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/003.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/003.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,C,B,False,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/003.png,3,Defect Localization,There is a defect in the object. Where is the defect?,D,A,False,Answer: A.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/003.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/003.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/004.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/004.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/004.png,3,Defect Localization,There is a defect in the object. Where is the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/004.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/004.png,5,Defect Analysis,There is a defect in the object. Is there an additional anomaly present in the cable?,C,A,False,Answer: A.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/005.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/005.png,2,Defect Classification,There are some defects in the object. How many different defects are observed in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/005.png,3,Defect Localization,There is a defect in the object. Where is the defect on the blue conductor located?,B,A,False,Answer: A.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/005.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect on the green and yellow conductor?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/005.png,5,Defect Analysis,There are some defects in the object. What is the potential impact of the defects on the cable's functionality?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/006.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/006.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/006.png,3,Defect Localization,There is a defect in the object. Where is the defect?,C,A,False,Answer: A.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/006.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/006.png,5,Defect Analysis,There is a defect in the object. What is the potential effect of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/007.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/007.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/007.png,3,Defect Localization,There is a defect in the object. Where is the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/007.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/007.png,5,Defect Analysis,There is a defect in the object. What could be the effect of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/008.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/008.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/008.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/008.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/008.png,5,Defect Analysis,There are some defects in the object. What could be the effect of these defects?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/009.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/009.png,2,Defect Classification,There is a defect in the object. What is the type of the first defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/009.png,3,Defect Localization,There is a defect in the object. Where is the missing wire defect located?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/009.png,4,Defect Description,There is a defect in the object. What is the appearance of the second defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/cable/test/poke_insulation/009.png,5,Defect Analysis,There are some defects in the object. What impact might the defects have?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/capsule/test/crack/000.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/capsule/test/crack/000.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/capsule/test/crack/000.png,3,Defect Localization,There is a defect in the object. Where is the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/capsule/test/crack/000.png,4,Defect Analysis,There is a defect in the object. What is the effect of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/capsule/test/crack/001.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/capsule/test/crack/001.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/capsule/test/crack/001.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/capsule/test/crack/001.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/capsule/test/crack/001.png,5,Defect Analysis,There is a defect in the object. What additional information can be observed about the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/capsule/test/crack/002.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/capsule/test/crack/002.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/capsule/test/crack/002.png,3,Defect Localization,There is a defect in the object. Where is the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/capsule/test/crack/002.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/capsule/test/crack/002.png,5,Defect Analysis,There is a defect in the object. Where on the black half is the defect more pronounced?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/capsule/test/crack/003.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/capsule/test/crack/003.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/capsule/test/crack/003.png,3,Defect Localization,There is a defect in the object. Where is the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/capsule/test/crack/003.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/capsule/test/crack/003.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect on the capsule?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/capsule/test/crack/004.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/capsule/test/crack/004.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
